Model,Class_ID,Class_Name,Precision,Recall,F1,Support
MLP_diamond_XXL,16,Ringworm,0.985480943738657,0.9783783783783784,0.9819168173598554,555.0
MLP_diamond_XXL,17,Upper Respiratory Infection,0.9658886894075404,0.9693693693693693,0.9676258992805755,555.0
Bagging,0,Conjunctivitis,0.9534883720930233,0.9603603603603603,0.9569120287253142,555.0
Bagging,1,Feline Asthma,0.9836660617059891,0.9765765765765766,0.9801084990958409,555.0
Bagging,2,Feline Calicivirus,0.9512635379061372,0.947841726618705,0.9495495495495495,556.0
Bagging,3,Feline Chlamydiosis,0.7328385899814471,0.710431654676259,0.7214611872146118,556.0
Bagging,4,Feline Herpesvirus,0.7359154929577465,0.7517985611510791,0.7437722419928826,556.0
Bagging,5,Feline Immunodeficiency Virus,0.8903107861060329,0.8758992805755396,0.8830462375339981,556.0
Bagging,6,Feline Infectious Peritonitis,0.8357142857142857,0.841726618705036,0.8387096774193549,556.0
Bagging,7,Feline Leukemia Virus,0.7940630797773655,0.7697841726618705,0.7817351598173516,556.0
Bagging,8,Feline Panleukopenia,0.9660714285714286,0.9730215827338129,0.9695340501792115,556.0
Bagging,9,Feline Renal Disease,0.9500891265597148,0.9603603603603603,0.9551971326164874,555.0
Bagging,10,Fungal Infection,0.9107806691449815,0.8828828828828829,0.8966148215919487,555.0
Bagging,11,Gastroenteritis,0.9391771019677997,0.9442446043165468,0.9417040358744395,556.0
Bagging,12,Hyperthyroidism,0.9963898916967509,0.9945945945945946,0.9954914337240758,555.0
Bagging,13,Inflammatory Bowel Disease,0.9278169014084507,0.947841726618705,0.9377224199288257,556.0
Bagging,14,Intestinal Parasites,0.9529616724738676,0.9838129496402878,0.968141592920354,556.0
Bagging,15,Pancreatitis,0.9494584837545126,0.9477477477477477,0.9486023444544635,555.0
Bagging,16,Ringworm,0.9784172661870504,0.9801801801801802,0.9792979297929792,555.0
Bagging,17,Upper Respiratory Infection,0.9856887298747764,0.9927927927927928,0.9892280071813285,555.0
LogisticRegression,0,Conjunctivitis,0.9615384615384616,0.9459459459459459,0.9536784741144414,555.0
LogisticRegression,1,Feline Asthma,0.9857397504456328,0.9963963963963964,0.9910394265232975,555.0
LogisticRegression,2,Feline Calicivirus,0.9548736462093863,0.9514388489208633,0.9531531531531532,556.0
LogisticRegression,3,Feline Chlamydiosis,0.703770197486535,0.7050359712230215,0.7044025157232704,556.0
LogisticRegression,4,Feline Herpesvirus,0.7105263157894737,0.7284172661870504,0.7193605683836589,556.0
LogisticRegression,5,Feline Immunodeficiency Virus,0.924812030075188,0.8848920863309353,0.9044117647058824,556.0
LogisticRegression,6,Feline Infectious Peritonitis,0.847036328871893,0.7967625899280576,0.8211306765523633,556.0
LogisticRegression,7,Feline Leukemia Virus,0.7777777777777778,0.7805755395683454,0.7791741472172352,556.0
LogisticRegression,8,Feline Panleukopenia,0.945993031358885,0.9766187050359713,0.9610619469026549,556.0
LogisticRegression,9,Feline Renal Disease,0.9522968197879859,0.9711711711711711,0.9616413916146298,555.0
LogisticRegression,10,Fungal Infection,0.9200743494423792,0.8918918918918919,0.9057639524245197,555.0
LogisticRegression,11,Gastroenteritis,0.9288256227758007,0.9388489208633094,0.9338103756708408,556.0
LogisticRegression,12,Hyperthyroidism,0.9981981981981982,0.9981981981981982,0.9981981981981982,555.0
LogisticRegression,13,Inflammatory Bowel Disease,0.931095406360424,0.947841726618705,0.9393939393939394,556.0
LogisticRegression,14,Intestinal Parasites,0.9630281690140845,0.9838129496402878,0.9733096085409253,556.0
LogisticRegression,15,Pancreatitis,0.9458483754512635,0.9441441441441442,0.9449954914337241,555.0
LogisticRegression,16,Ringworm,0.976491862567812,0.972972972972973,0.9747292418772563,555.0
LogisticRegression,17,Upper Respiratory Infection,0.9680284191829485,0.9819819819819819,0.9749552772808586,555.0
ExtraTrees,0,Conjunctivitis,0.9577205882352942,0.9387387387387387,0.9481346678798908,555.0
ExtraTrees,1,Feline Asthma,0.968141592920354,0.9855855855855856,0.9767857142857143,555.0
ExtraTrees,2,Feline Calicivirus,0.947935368043088,0.9496402877697842,0.9487870619946092,556.0
ExtraTrees,3,Feline Chlamydiosis,0.71939736346516,0.6870503597122302,0.702851885924563,556.0
ExtraTrees,4,Feline Herpesvirus,0.7084745762711865,0.7517985611510791,0.7294938917975567,556.0
ExtraTrees,5,Feline Immunodeficiency Virus,0.8936567164179104,0.8615107913669064,0.8772893772893773,556.0
ExtraTrees,6,Feline Infectious Peritonitis,0.8461538461538461,0.8309352517985612,0.838475499092559,556.0
ExtraTrees,7,Feline Leukemia Virus,0.8029739776951673,0.7769784172661871,0.7897623400365631,556.0
ExtraTrees,8,Feline Panleukopenia,0.9507908611599297,0.9730215827338129,0.9617777777777777,556.0
ExtraTrees,9,Feline Renal Disease,0.9537366548042705,0.9657657657657658,0.9597135183527306,555.0
ExtraTrees,10,Fungal Infection,0.8761552680221811,0.8540540540540541,0.864963503649635,555.0
ExtraTrees,11,Gastroenteritis,0.9386281588447654,0.935251798561151,0.9369369369369369,556.0
ExtraTrees,12,Hyperthyroidism,0.9963963963963964,0.9963963963963964,0.9963963963963964,555.0
ExtraTrees,13,Inflammatory Bowel Disease,0.9332161687170475,0.9550359712230215,0.944,556.0
ExtraTrees,14,Intestinal Parasites,0.9581881533101045,0.9892086330935251,0.9734513274336283,556.0
ExtraTrees,15,Pancreatitis,0.9475587703435805,0.9441441441441442,0.9458483754512635,555.0
ExtraTrees,16,Ringworm,0.9767857142857143,0.9855855855855856,0.9811659192825112,555.0
ExtraTrees,17,Upper Respiratory Infection,0.9658273381294964,0.9675675675675676,0.9666966696669667,555.0
DecisionTree,0,Conjunctivitis,0.9217081850533808,0.9333333333333333,0.927484333034915,555.0
DecisionTree,1,Feline Asthma,0.9607142857142857,0.9693693693693693,0.9650224215246637,555.0
DecisionTree,2,Feline Calicivirus,0.8990990990990991,0.8974820143884892,0.8982898289828983,556.0
DecisionTree,3,Feline Chlamydiosis,0.6352530541012217,0.6546762589928058,0.6448184233835252,556.0
DecisionTree,4,Feline Herpesvirus,0.6666666666666666,0.6510791366906474,0.6587807097361238,556.0
DecisionTree,5,Feline Immunodeficiency Virus,0.8394160583941606,0.8273381294964028,0.8333333333333334,556.0
DecisionTree,6,Feline Infectious Peritonitis,0.8083941605839416,0.7967625899280576,0.802536231884058,556.0
DecisionTree,7,Feline Leukemia Virus,0.7226277372262774,0.7122302158273381,0.717391304347826,556.0
DecisionTree,8,Feline Panleukopenia,0.9586330935251799,0.9586330935251799,0.9586330935251799,556.0
DecisionTree,9,Feline Renal Disease,0.9425493716337523,0.9459459459459459,0.9442446043165468,555.0
DecisionTree,10,Fungal Infection,0.8315602836879432,0.8450450450450451,0.838248436103664,555.0
DecisionTree,11,Gastroenteritis,0.9103690685413005,0.9316546762589928,0.9208888888888889,556.0
DecisionTree,12,Hyperthyroidism,0.992818671454219,0.9963963963963964,0.9946043165467626,555.0
DecisionTree,13,Inflammatory Bowel Disease,0.9019607843137255,0.9100719424460432,0.9059982094897046,556.0
DecisionTree,14,Intestinal Parasites,0.9400352733686067,0.9586330935251799,0.9492430988423864,556.0
